Udate,Close,High,Low,Open,Volume,Field7,LDate,LTime,pCalcIndx
1441296060,147.3724,147.43,147.3724,147.38,3690,,9/3/2015,42250.45903,42250.45903
1441296120,147.41,147.47,147.38,147.38,22358,,9/3/2015,42250.45972,42250.45972
1441296180,147.4,147.41,147.35,147.37,2800,,9/3/2015,42250.46042,42250.46042
1441296240,147.37,147.41,147.34,147.41,4378,,9/3/2015,42250.46111,42250.46111
1441296300,147.41,147.44,147.38,147.38,7790,,9/3/2015,42250.46181,42250.46181
1441296360,147.37,147.47,147.37,147.4024,8644,,9/3/2015,42250.4625,42250.4625
1441296420,147.37,147.43,147.36,147.363,8200,,9/3/2015,42250.46319,42250.46319
1441296480,147.41,147.41,147.34,147.36,9232,,9/3/2015,42250.46389,42250.46389
1441296540,147.5,147.5,147.3859,147.3859,6827,,9/3/2015,42250.46458,42250.46458
1441296600,147.47,147.49,147.45,147.49,730,,9/3/2015,42250.46528,42250.46528
1441296660,147.41,147.48,147.39,147.47,2449,,9/3/2015,42250.46597,42250.46597
1441296720,147.39,147.42,147.39,147.4,1400,,9/3/2015,42250.46667,42250.46667
1441296780,147.31,147.42,147.31,147.42,2307,,9/3/2015,42250.46736,42250.46736
1441296840,147.35,147.37,147.33,147.33,2400,,9/3/2015,42250.46806,42250.46806
1441296900,147.4,147.41,147.35,147.37,3960,,9/3/2015,42250.46875,42250.46875
1441296960,147.47,147.49,147.43,147.43,4200,,9/3/2015,42250.46944,42250.46944
1441297020,147.52,147.5299,147.47,147.49,2223,,9/3/2015,42250.47014,42250.47014
1441297080,147.48,147.53,147.46,147.53,1800,,9/3/2015,42250.47083,42250.47083
1441297140,147.44,147.51,147.41,147.4601,5000,,9/3/2015,42250.47153,42250.47153
1441297200,147.449,147.47,147.43,147.45,2535,,9/3/2015,42250.47222,42250.47222
1441297260,147.48,147.51,147.46,147.46,2756,,9/3/2015,42250.47292,42250.47292
1441297320,147.47,147.4869,147.46,147.46,1800,,9/3/2015,42250.47361,42250.47361
